Leyton Midland Road,LEM,"['London, UK', 12912.0, 1635.0]"
Leytonstone High Road,LER,"['London, UK', 13893.0, 1608.0]"
Limehouse,LHS,"['London, UK', 7233.0, 858.0]"
Lingfield,LFD,"['London, UK', 43704.0, 3834.0]"
London Blackfriars,BFR,"['London, UK', 2136.0, 315.0]"
London Bridge,LBG,"['London, UK', 3705.0, 470.0]"
London Cannon Street,CST,"['London, UK', 2670.0, 404.0]"
London Charing Cross,CHX,"['London, UK', 396.0, 87.0]"
London Euston,EUS,"['London, UK', 2731.0, 484.0]"
London Fenchurch Street,FST,"['London, UK', 3591.0, 559.0]"
London Fields,LOF,"['London, UK', 4821.0, 697.0]"
London Kings Cross,KGX,"['London, UK', 3579.0, 500.0]"
London Liverpool Street,LST,"['London, UK', 3664.0, 560.0]"
London Marylebone,MYB,"['London, UK', 2761.0, 571.0]"
London Paddington,PAD,"['London, UK', 5223.0, 698.0]"
London St Pancras International,STP,"['London, UK', 4427.0, 599.0]"
London St Pancras (Intl),SPX,"['London, UK', 4427.0, 599.0]"
London Victoria,VIC,"['London, UK', 2519.0, 388.0]"
London Waterloo,WAT,"['London, UK', 2468.0, 374.0]"
London Waterloo East,WAE,"['London, UK', 1786.0, 276.0]"
Longcross,LNG,"['London, UK', 49076.0, 2984.0]"
Longfield,LGF,"['London, UK', 37549.0, 2735.0]"
Loughborough Junction,LGJ,"['London, UK', 6542.0, 787.0]"
Lower Sydenham,LSY,"['London, UK', 14229.0, 1722.0]"
Maidenhead,MAI,"['London, UK', 48085.0, 2871.0]"
Malden Manor,MAL,"['London, UK', 20058.0, 2042.0]"
Manor Park,MNP,"['London, UK', 16023.0, 1419.0]"
Maryland,MYL,"['London, UK', 11798.0, 1313.0]"
Maze Hill,MZH,"['London, UK', 11877.0, 1374.0]"
Meopham,MEP,"['London, UK', 44213.0, 2897.0]"
Merstham,MHM,"['London, UK', 31130.0, 2976.0]"
Mill Hill Broadway,MIL,"['London, UK', 17489.0, 1815.0]"
Mitcham Eastfields,MTC,"['London, UK', 13574.0, 1535.0]"
Mitcham Junction,MIJ,"['London, UK', 15704.0, 1819.0]"
Moorgate,MOG,"['London, UK', 3601.0, 533.0]"
Morden South,MDS,"['London, UK', 17257.0, 2027.0]"
Mortlake,MTL,"['London, UK', 13334.0, 1425.0]"
Motspur Park,MOT,"['London, UK', 19616.0, 1987.0]"
Mottingham,MTG,"['London, UK', 17027.0, 1839.0]"
New Barnet,NBA,"['London, UK', 18795.0, 2160.0]"
New Beckenham,NBC,"['London, UK', 14709.0, 1785.0]"
New Cross,NWX,"['London, UK', 8557.0, 935.0]"
