Park Street,PKT,"London, UK","driving",37865.0,2626.0
Peckham Rye,PMR,"London, UK","driving",9083.0,1068.0
Penge East,PNE,"London, UK","driving",14317.0,1676.0
Penge West,PNW,"London, UK","driving",13918.0,1696.0
Petts Wood,PET,"London, UK","driving",23465.0,2446.0
Plumstead,PLU,"London, UK","driving",18366.0,2013.0
Ponders End,PON,"London, UK","driving",20089.0,2204.0
Potters Bar,PBR,"London, UK","driving",30590.0,2607.0
Purfleet,PFL,"London, UK","driving",30105.0,2183.0
Purley,PUR,"London, UK","driving",21089.0,2225.0
Purley Oaks,PUO,"London, UK","driving",20667.0,2291.0
Putney,PUT,"London, UK","driving",8802.0,1103.0
Queens Park (London),QPW,"London, UK","driving",8138.0,1029.0
Queens Road (Peckham),QRP,"London, UK","driving",7745.0,857.0
Queenstown Road (Battersea),QRB,"London, UK","driving",5628.0,698.0
Radlett,RDT,"London, UK","driving",29179.0,2731.0
Rainham (Essex),RNM,"London, UK","driving",26091.0,2044.0
Ravensbourne,RVB,"London, UK","driving",13262.0,1615.0
Raynes Park,RAY,"London, UK","driving",18589.0,1849.0
Rectory Road,REC,"London, UK","driving",8880.0,1178.0
Redbridge,RDB,"London, UK","driving",19412.0,2116.0
Redhill,RDH,"London, UK","driving",33914.0,3263.0
Reedham (Surrey),RHM,"London, UK","driving",22444.0,2369.0
Reigate,REI,"London, UK","driving",36452.0,3484.0
Richmond (London),RMD,"London, UK","driving",0.0,0.0
Rickmansworth,RIC,"London, UK","driving",44466.0,2795.0
Riddlesdown,RDD,"London, UK","driving",23041.0,2457.0
Roche,ROC,"London, UK","driving",46582.0,3158.0
Romford,RMF,"London, UK","driving",26534.0,2391.0
Rotherhithe,ROE,"London, UK","driving",6939.0,865.0
Rye House,RYH,"London, UK","driving",35912.0,3368.0
Salfords (Surrey),SAF,"London, UK","driving",37845.0,3635.0
Sanderstead,SNR,"London, UK","driving",22558.0,2371.0
Seer Green & Jordans,SRG,"London, UK","driving",44112.0,2762.0
Selhurst,SRS,"London, UK","driving",15869.0,1730.0
Seven Kings,SVK,"London, UK","driving",22407.0,1944.0
Sevenoaks,SEV,"London, UK","driving",45862.0,3318.0
Shenfield,SNF,"London, UK","driving",48736.0,3110.0
Shepherd's Bush,SPB,"London, UK","driving",8252.0,989.0
Shepperton,SHP,"London, UK","driving",29484.0,2728.0
Shoreditch High Street,SDC,"London, UK","driving",4533.0,660.0
Shoreham (Kent),SEH,"London, UK","driving",37623.0,3023.0
Shortlands,SRT,"London, UK","driving",19846.0,2155.0
Sidcup,SID,"London, UK","driving",21451.0,2139.0
Slade Green,SGR,"London, UK","driving",28758.0,2500.0
Slough,SLO,"London, UK","driving",38852.0,2496.0
Sole Street,SOR,"London, UK","driving",44588.0,2931.0
South Acton,SAT,"London, UK","driving",12179.0,1377.0
South Bermondsey,SBM,"London, UK","driving",7002.0,804.0
South Croydon,SCY,"London, UK","driving",19386.0,2094.0
South Greenford,SGN,"London, UK","driving",19958.0,1610.0
South Hampstead,SOH,"London, UK","driving",7904.0,1024.0
South Kenton,SOK,"London, UK","driving",17128.0,2046.0
South Merton,SMO,"London, UK","driving",15913.0,1793.0
South Ruislip,SRU,"London, UK","driving",24582.0,1916.0
South Tottenham,STO,"London, UK","driving",11188.0,1348.0
Southall,STL,"London, UK","driving",23808.0,2158.0
Southbury,SBU,"London, UK","driving",19798.0,2094.0
St Albans,SAC,"London, UK","driving",39860.0,2900.0
St Albans Abbey,SAA,"London, UK","driving",39008.0,2799.0
St Helier (Surrey),SIH,"London, UK","driving",17049.0,1887.0
St James Street (Walthamstow),SJS,"London, UK","driving",13014.0,1644.0
St Johns (London),SAJ,"London, UK","driving",9959.0,1083.0
St Margarets (Herts),SMT,"London, UK","driving",36679.0,3177.0
St Margarets (London),SMG,"London, UK","driving",1309.0,233.0
St Mary Cray,SMY,"London, UK","driving",24834.0,2385.0
Staines,SNS,"London, UK","driving",36603.0,2549.0
Stamford Hill,SMH,"London, UK","driving",9836.0,1212.0
Stanford-le-Hope,SFO,"London, UK","driving",42846.0,2698.0
Stoke Newington,SKW,"London, UK","driving",7867.0,1082.0
Stone Crossing,SCG,"London, UK","driving",35055.0,2603.0
Stonebridge Park,SBP,"London, UK","driving",14289.0,1624.0
Stratford International,SFA,"London, UK","driving",11713.0,1392.0
Stratford (London),SRA,"London, UK","driving",11816.0,1292.0
Strawberry Hill,STW,"London, UK","driving",19379.0,2088.0
Streatham Common,SRC,"London, UK","driving",11773.0,1358.0
Streatham Hill,SRH,"London, UK","driving",8405.0,969.0
Streatham(Greater London),STE,"London, UK","driving",11242.0,1301.0
Strood (Kent),SOO,"London, UK","driving",48318.0,3009.0
Sudbury & Harrow Road,SUD,"London, UK","driving",18634.0,1689.0
Sudbury Hill Harrow,SDH,"London, UK","driving",21429.0,1787.0
Sunbury,SUU,"London, UK","driving",26090.0,2389.0
Sundridge Park,SUP,"London, UK","driving",18268.0,2037.0
Sunningdale,SNG,"London, UK","driving",42994.0,2914.0
Sunnymeads,SNY,"London, UK","driving",35413.0,2491.0
Surbiton,SUR,"London, UK","driving",19252.0,2188.0
Sutton Common,SUC,"London, UK","driving",18819.0,2148.0
Sutton (Surrey),SUO,"London, UK","driving",19995.0,2287.0
Swanley,SAY,"London, UK","driving",26765.0,2377.0
Swanscombe,SWM,"London, UK","driving",36904.0,2731.0
